Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,,,,,,,2461665937.89386,4128820723.04713,4583644246.48061,5285465685.86423,6275073571.54659,7057598406.61553,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20046334303.9661,20050189881.6659,19331286549.3323
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2424499009.14264,3314898291.37753,2359903108.25164,2707123772.39715,3414760915.22464,3632043907.78974,4060758804.1064,4435078647.86039,5746945912.88569,7314865175.67485,8158548716.52941,8992642348.95796,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987,12781029643.5936,13219857459.1009,11398392444.316
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,41764052457.8814,46941496779.8499,48177862501.9495,48187747528.899,48640574566.9786,54790245600.6141,54744714396.5684,56760288973.3478,67863829879.9395,85324998813.9719,103198228458.489,117027304746.615,134977087734.369,171000691878.381,137211039897.737,161207268655.591,200013051408.161,209047389309.727,209722675517.938,213983107815.848,164779467702.947
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,,,,,,,,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,639000000,638000000,641000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1178738991.19295,1223945356.62682,1180597272.72727,1211932397.81713,1239876305.13531,1401695227.56587,1484017897.09172,1717485413.13759,2373927765.23702,2916786689.84356,3248215396.09501,3536632793.87781,4010990966.32904,4001201113.22689,3650083356.48791,3346516556.29139,3427022518.76564,3146151869.45908,3248924588.42273,,
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,5039552482.42778,7526446605.51712,7648377412.83277,6445041824.66621,6152922942.98032,9129594818.60749,8936063723.20121,12497346669.6684,14188949190.618,19640848728.8937,28233712830.9035,41789478661.3096,60448921272.2326,84178032716.0971,75492384801.3695,82470913120.7314,104115923082.737,115398371427.673,124912063308.202,126776874216.703,102626929544.805
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,494185185.185185,541074074.074074,579851851.851852,620037037.037037,651851851.851852,783837851.851852,773765185.185185,802529333.333333,839996370.37037,898356148.148148,997374111.111111,1135143592.59259,1289254333.33333,1347349851.85185,1206410370.37037,1135539037.03704,1129918370.37037,1204713111.11111,1200587518.51852,1220976000,1259259259.25926
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.8602,127586973492.177,164657930461.189,198737095024.998,232557260828.303,287530508421.561,361558037105.274,332976484584.295,423627422103.855,530163281582.146,545982375704.347,552025140256.732,526319673732.799,584711485365.112
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,1468317350.02343,1596968913.19202,1639492424.38103,1893726437.35976,1845482181.48539,1911563665.39006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469515.07252,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79782,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10529182498.3475
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,1320670391.06145,1379888268.15642,1531843575.41899,1665363128.49162,1722798882.68156,1873452513.96648,1920262569.8324,1941094972.06704,2021301675.97765,2228279329.60894,2331005586.59218,2421474860.3352,2623726256.98324,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,,,,
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,367949212949.213,401335356600.91,435571294412.271,399293902190.87,388672139365.835,414951956289.644,378459268004.723,394196316450.398,466348281887.012,612695262483.995,693075477371.824,746880802635.52,853053309256.497,1054557743957.03,926563834486.821,1142250506474.06,1389919156068.22,1537477830480.51,1563950959269.52,1454675479665.84,1339140527498.13
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,240457622492.152,236720496490.772,212323463750.141,217683626056.025,216725261027.062,196421706283.398,196953628635.347,212970685111.989,260721478555.305,299857238639.185,314648986444.472,334309371471.584,386458951546.674,427611527757.434,397594276187.83,390235099337.748,429010675562.969,407451583084.239,428248420485.175,438376178526.317,376950249528.668
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,3052467522.36104,3176749593.11788,3962710163.11167,4446396217.63265,4581222442.45783,5272617196.04517,5707618246.56848,6236024951.20423,7275766111.24309,8680511918.49357,13245421880.834,20983019923.8863,33050343782.7759,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,68730906313.6456,73560484384.9586,75198010965.1919,53047140347.4527
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7909580000,7889750000,8399031000,8521997500,8617738100,8853519100
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,5849467819.14894,6101861436.17021,6349202393.61702,6183776595.74468,6621010372.34043,9062906914.89362,8976207712.76596,9632155053.19149,11074822074.4681,13150166755.3191,15968726861.7021,18505053191.4894,21730000000,25710877659.5745,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539441489.3617,33387712765.9575,31125851063.8298
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,37939748051.3878,46438482370.3942,48244308274.8086,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078665827.565
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,2261996995.18515,2411846465.43502,2549260575.07039,2874413287.26735,3012021852.2502,3121619807.97687,3116632412.98352,3169612598.33334,3274856571.16603,3514370691.25564,3897467233.85757,4303275572.40198,4546115388.40716,4595264666.36232,4601200362.60463,4446829722.72591,4358920097.55454,4332141067.26626,4371196622.64321,4352734313.10536,4385250000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,13972637603.2102,14756861538.4615,14128412417.193,15222014828.3039,12138485328.6267,12736856485.1068,12354820143.8849,14594925392.9691,17825436034.5366,23141587717.7633,30210091836.8294,36961821893.6976,45275747860.6442,60752177438.8895,49208656976.039,55220932613.958,59734593904.6402,63615445566.8483,73097619636.8208,76103961203.4406,54608962634.9908
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,289567597153.804,281357654723.127,254813937753.721,260602356079.129,260202429149.798,237904919845.218,237841610738.255,258860342555.995,319003386004.515,370885274397.815,387365999253.824,409813072387.404,471821790309.335,518626043650.212,484552653514.865,483577483443.709,526975257158.743,497884088082.651,520091913424.264,531761517044.614,455085948763.447
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,620140400,641383800,654314350,688992450,732732350,832072450,871860600,932551850,990374038.916065,1057845487.01254,1114222545.68238,1217467601.14436,1290573396.53153,1369603993.98571,1338515647.69315,1398362215.83775,1488894464.89739,1573867323.54972,1625828111.72853,1717861729.53812,1752861127.94553
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,2169627250.93379,2361116587.86079,2268301537.65128,2455092582.30927,2689787917.50711,2569186642.86999,2680213931.46472,3054571081.6912,3905366187.87017,4521424807.22519,4803702821.08056,5142380779.44103,5969535131.58016,7132787396.66547,7097198711.61023,6970240895.49888,7814081155.64988,8152554487.31321,9156748441.42175,9707432015.61441,8290986804.45245
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,,
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,303053462.843047,316420860.852385,365964500.137703,376955087.251575,419035810.496981,439158233.199822,476360697.181606,537050133.717342,622026107.771576,702682018.976169,818869145.124717,897731524.929922,1196091805.02316,1258332337.28382,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.83954,1958819914.95916,2057947621.19283
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,6715220507.05164,7396966657.47054,7925673448.41368,8497545598.08352,8285075872.27307,8397912509.09679,8141537937.61068,7905485216.17852,8082364868.39357,8773451738.91129,9549077869.1065,11451869164.7112,13120159975.5451,16674357238.5781,17340028490.0285,19649692875.5683,23963096439.383,27084515195.369,30659334298.1187,32996237337.1925,32997684515.1954
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,1866572953.73665,2786045321.63743,3671816504.23851,4116699437.4041,4685729738.56209,5505984455.95855,5748990666.17862,6651226179.01829,8370020196.19158,10022840634.9206,11225138297.1959,12866524918.2221,15776422673.198,19101454463.7507,17600630726.6141,17163117551.4626,18628022743.4257,17207367625.8048,18154290272.2151,18523988466.7571,16191716214.6829
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,4730611067.02258,4847752842.78924,5020214747.45261,4790458837.17078,5484257417.17844,5788329609.15755,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.5354,9931134940.51346,10126940513.3125,10939053367.1521,10945070447.5102,10267133183.7388,12786654369.6595,15682926890.0326,14686278713.5189,14814761247.9547,15880203580.8046,14389717321.1029
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,785643456467.255,850425828275.793,883199443413.729,863723395088.324,599388879704.634,655421153320.579,559372502338.237,507962741819.919,558320116997.075,669316239316.239,891629970423.924,1107640325472.35,1397084381901.29,1695824517395.57,1667019605881.76,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993200170,1803652649613.75
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,4734020036.68689,5115602836.87943,5197332974.13793,4051147227.53346,4600000000,6001153306.2645,5601090584.36122,5843329107.56171,6557333084.60567,7872333215.00414,9531402847.87311,11470703002.0769,12247694247.2298,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19048495518.5659,18093829923.2737,17123125493.2912,12930394937.8137
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,13063422619.0476,10109404159.6402,11195630536.8928,14630974778.4594,13495062850.302,13148099185.2305,14135393875.5893,16360346653.8276,21074775206.3254,26094622563.6468,29821662537.3229,34304448149.8108,44765733379.986,54666642734.2757,51783454183.5501,50610031135.7791,57418391041.5926,53903028252.2996,55758744571.1183,56732006512.0065,50199117547.0415
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,2379518099.2266,2586550747.09844,2447669403.89018,2804902723.73145,2991748387.09677,2628920056.10098,2812532813.18202,3207747085.51083,4098643482.34347,4839877683.94744,5458343594.30942,5843872989.47876,6762399882.91926,8350808396.60563,8148059793.81443,8988623686.33791,10746062858.3563,11166654260.5289,11930742614.3262,12257141798.2204,10678201939.3595
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,1000428393.88528,869033856.317093,972896267.915425,893770806.077641,808077223.365746,870486065.883137,876794723.068586,825394490.159111,784654423.620476,915257323.3961,1117257279.46188,1273180597.02711,1356078278.18821,1611634331.64869,1739781488.7457,2026864469.36388,2355652125.85184,2472384906.99794,2714505634.52629,3093647226.8107,3097324739.82522
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,487148993.533109,501979069.274683,490608657.924976,521910560.524868,592416703.058878,539227277.626411,563024383.296626,620974660.230303,813963830.179217,924318490.7598,971977088.156914,1107891063.43863,1513934037.24782,1789332788.19218,1711816593.14186,1664310632.50555,1864823990.99337,1751887838.54178,1850952140.46767,1881496591.95896,1603239233.28178
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,3441205692.9166,3506695719.57259,3443413388.6909,3120425502.58253,3517242477.2285,3654031716.26881,3979813387.84404,4284028138.34567,4658246906.65996,5337833255.95698,6293046162.12584,7274595706.67154,8639235842.18075,10351914093.1723,10401851850.6108,11242275198.9783,12829541141.0127,14038383450.186,15449630418.5486,16777820332.7059,18049954289.4229
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,8733231184.34755,9732328115.73674,9840553235.89425,9629649416.89037,10486451144.4061,9287367235.25769,9633109349.64535,10879778384.1965,13621738837.1961,15775357014.6254,16587858856.6778,17953066721.0949,20431780377.8605,23322254113.5623,23381142146.6485,23622483983.7101,26587311527.5711,26472056037.7696,29567504655.4935,32050817632.9602,28415950981.4447
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,604031623433.401,628546387972.131,652825364726.275,631813279406.808,676082654640.91,742293448252.643,736379777892.562,757950678646.53,892380986367.854,1023196003074.56,1169357979864.66,1315415197461.21,1464977190205.75,1549131208997.19,1371153004986.44,1613406134731.12,1788703385548.26,1824288757447.57,1842628005830.18,1792883225804.38,1552807652015.37
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,,1012444074.07495,,,,,,,,,,3207032512.94205,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,1115389731.79119,1007791186.20106,937741468.029676,967338348.658314,999477510.686632,914500299.097034,931833302.752857,991387870.12463,1139754799.16304,1270080250.65268,1350301057.06866,1460562038.37097,1698125617.92304,1985370057.92473,1981728140.77833,1986014845.63184,2212699746.81377,2184183758.31567,1518565219.01061,1702898939.55483,1583776759.97697
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,1445919969.89272,1607345450.04578,1544689502.82472,1744794457.276,1534673583.2487,1385058161.76746,1709347793.32873,1987622279.11463,2736666515.8294,4414929219.99649,6646663021.43571,7422102519.56848,8638711442.7705,10351932604.4154,9253484108.49701,10657705536.4978,12156380425.0825,12368071038.7362,12949854262.8127,13922223233.5184,10888798113.7866
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,,,,5945677376.61477,6262740656.85164,6439703434.71024,6232906290.4851,6663669064.7482,7332244897.95918,8553643354.08275,8827272727.27273,9676172953.08188,11514605842.3369,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,71349202308.6423,75769008174.2547,82808986191.6005,79373597080.1017,72995286764.4168,79328640263.7676,72336972322.4242,70984568428.6004,77840186384.8713,100630707851.787,124404150138.227,154671012210.645,173081277147.793,179626674542.406,171956955710.33,217538271334.673,250832362674.151,265231582123.55,277078709134.903,258733363811.966,240796388428.74
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,734548001963.907,863746361646.34,961603416246.472,1029043011921.59,1093997559885.48,1211346395438.73,1339395440432.04,1470549716080.71,1660287543796.06,1955347477285.91,2285965854313.36,2752132089196.58,3552182714426.55,4598205419718.8,5109954035775.98,6100620356557.32,7572554360442.62,8560546868811.69,9607224248684.59,10482371325324.7,11064664793255.7
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,92507279383.0387,97160109277.8087,106659508271.255,98443739941.1664,86186158684.7685,99886577330.7271,98203546156.3102,97933391976.083,94684584162.773,117074863821.85,146566264837.014,162590146096.414,207416494642.379,243982437870.84,233821670544.258,287018184637.529,335415156702.186,369659700375.52,380191881860.372,378416020533.715,292080155633.31
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,231896229.562629,230495751.446593,212099634.697751,215394066.068976,222580453.753844,203846427.738737,220093812.206791,246737679.472106,317562269.371107,368143118.68996,380372892.606774,406111873.539847,462453582.873627,523134896.968654,524157261.014644,530493353.218937,586281766.75997,570865941.229393,618663921.771194,647720707.13635,565689764.52408
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,5643439262.21735,5771454939.62404,6090840548.18784,6215591269.89747,4711259427.27273,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484667.9102,14296507096.4135,16364029327.3456,19206060270.2521,18262773820.8055,20523285374.187,23849009737.6669,27463220380.0054,30014813755.772,32782281736.251,35237742278.1147
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,2116003868.17928,2540697537.71673,2322719101.29807,1949481380.64044,2353909441.71514,3219910666.03357,2794259756.13093,3019993723.13308,3495868724.68452,4648628839.53457,6087002681.74095,7731261310.93322,8394688284.06224,11859014004.0772,9593536531.23778,12007880590.4575,14425607224.168,13677930123.5919,14085852120.4761,14177437627.2969,8553154505.83585
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,11513472693.8707,11618286553.3677,12552071367.1539,13617405420.1174,14195623424.811,14949514585.1585,15913363335.0564,16504795453.2822,17195867540.353,18529767934.4743,19952156474.8454,22600431878.0024,26743874286.8514,30612932802.8991,30562361151.812,37268635328.7341,42262697853.6349,46473128236.8416,49639737973.791,50167623289.763,54136834090.867
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,11000146839.497,12139234938.7863,11722142706.1278,12612033728.8572,12376639822.9265,10717022462.6859,11192560827.2962,12346919216.1359,15306602560.2533,16554441846.5192,17084928927.4555,17800887796.4987,20343635319.6174,24224903099.6283,24277493862.0625,24884505034.5564,25381616734.0693,27040562587.1771,31264187110.3554,34217693110.4569,31759248867.8039
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,22387561845.2244,23678012697.3612,23822087053.2091,25432144406.2043,23386945596.6928,21774273832.1031,23289671102.3197,26878499206.0165,34658113497.39,41574530815.5047,45416076680.8707,50453577898.4886,60093155532.7678,70481451814.3118,62703095750.5257,59680624422.3702,62249565358.9878,56485301967.4205,57770884728.6496,57136241867.0192,48732003674.38
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,30429803651.2192,25017300000,25366200000,25736331247.1786,28364615241.6894,30565400000,31682400000,33590500000,35901200000,38203000000,42643836074.8,52742800000,58603900000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656100000,87132800000
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,,,,,,,,,,,,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,9826778783.9586,9899623588.45671,9594298745.72406,10353506787.3303,10614455231.931,10183317624.8822,10567304189.4353,11618269230.7692,14576896942.2424,17422375000,18703146374.829,20403713461.2972,24077470572.1325,27839460963.8201,25942622950.8197,25562251655.6291,27427161523.4918,25012206090.1966,24054965480.616,23308212816.7706,19559942331.1523
GDP (current US$),NY.GDP.MKTP.CD,Czech Republic,CZE,59537113790.5049,66775046785.4354,61621364981.4187,66372594575.1707,64719461254.5271,61474265134.5364,67375623427.4642,81696651658.8981,99300329682.0164,118976023159.713,135990215966.674,155213006071.979,188818155388.125,235204812643.146,205729790694.015,207015860050.371,227948564356.715,207376427020.815,209402444996.104,207818330723.835,185156359571.116
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,185006961302.299,187632400365.599,173537588008.176,176992000955.11,177965224620.854,164158800460.219,164791416350.267,178635160297.415,218095997085.477,251373036671.062,264467308109.19,282884912894.33,319423370134.284,353361056079.716,321241396034.248,321993919027.044,344003948814.424,327148899962.146,343584385594.132,352296969840.949,301307828843.613
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,497723960.589913,494004647.73437,502675542.001227,514267869.300758,536080148.097299,551230861.856506,572417440.820162,591122039.601398,622044665.515049,666072101.777505,708633194.726566,768873684.032838,847918929.107984,999105339.267729,1049110684.72493,1128611700.3618,1239144501.77525,1353632941.5207,1455000000,1588000000,1727000000
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,224037037.037037,236444444.444444,245781481.481481,258440740.740741,267740740.740741,335845814.814815,343119370.37037,337695740.740741,350091222.222222,374771481.481481,370370370.37037,390370370.37037,421375851.851852,458190185.185185,489074333.333333,493824407.407407,500988407.407407,485905592.592593,508447148.148148,528178703.703704,517218962.962963
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,16358496124.031,18131813000.6281,19593869595.0191,21171523985.0642,21709726722.118,23996063503.0497,24892521236.9553,26571620978.7885,21277165885.6865,22039232609.9553,34004033803.9438,35952845582.5029,44169678153.1566,48288967303.4896,48376555305.6902,53954579003.5277,57746684847.0898,60613645121.3529,61965942056.6828,65231032303.2418,68102618092.1031
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,24432884442.2211,25226393196.5983,28162053026.5133,27981896948.4742,19645272636.3182,18327764882.4412,24468324000,28548945000,32432859000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,102292260000,100176808000
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,60159245060.4542,67629716981.1321,78436578171.0914,84828807556.0803,90710704806.8416,99838543960.0763,97632008709.853,87850683978.6691,82924503942.6381,78845185293.4964,89685725230.2517,107484034870.974,130478960092.499,162818181818.182,188982374700.805,218888324504.753,236001858960.015,276353323880.224,286011230726.274,301498960051.639,330778550716.746
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,9500500000,10315500000,11134700000,12008400000,12464700000,13134100000,13812700000,14306700000,15046700000,15798300000,17093800000,18550700000,20104900000,21431000000,20661000000,21418300000,23139000000,23813600000,24350900000,25054200000,25850200000
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,141853368.256815,232463036.435759,442337849.474377,370687618.717326,621117885.668503,1045998496.43872,1461139022.02954,1806742742.27311,2484745935.09329,4410764338.66733,8217369092.65224,10086528698.8604,13071718758.7373,19749893536.3204,15027795173.2187,16298542027.9965,21329395900.871,22389627294.4179,21942597765.3631,21461989483.1265,12202323684.1015
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,578015625,693535954.190067,686490090.140141,745526154.93283,688921325.712043,706370815.584416,752368495.512622,729321366.65186,870247703.182758,1109054005.43971,1098425900.74116,1211161879.6748,1317974491.05691,1380188800,1856695551.21951,2117039512.19512,2607739837.39837,,,,
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,4373658536.58537,4746104825.07478,5066242110.00902,5617109800.86773,5726895229.98296,5685773518.84272,6245072061.58804,7322068380.89856,9833875338.75339,12059204968.9441,14006093769.4317,16963630661.1467,22237065425.6775,24194038377.0324,19652486801.8894,19492092715.2318,23168793438.9769,23043861554.8714,25081191938.2942,26213936937.2806,22459443273.8161
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,7663984567.90123,8547939730.62374,8589211390.49612,7818224905.55071,7700833482.00615,8242392103.68061,8231326016.47494,7850809498.16803,8623691300.04079,10131187261.4421,12401139453.9738,15280861834.6024,19707616772.7996,27066912635.2228,32437389116.038,29933790334.3418,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,61539711686.6936
GDP (current US$),NY.GDP.MKTP.CD,Faroe Islands,FRO,,,,1105688872.97039,1125684470.05533,1062339943.83343,1154899793.33878,1268445919.41429,1486861878.95624,1683997930.26322,1730891409.07567,1970142377.91507,2278229533.05096,2413237402.14803,2257097731.55019,2301178416.00619,2468748767.9772,2356505419.09755,2613458942.48139,,
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,1970347720.96992,2129266728.42585,2093994597.21549,1656784779.545,1942170999.18765,1684109743.49338,1660102345.60309,1842691481.09196,2315935752.71653,2727507212.92556,3006725014.78415,3102741451.01664,3405050611.68726,3523185919.55826,2870624635.68032,3140508835.9485,3774530588.88398,3972012545.85528,4190143229.08891,4469810123.71644,4425503074.70408
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,134199346405.229,132099404607.818,126833123353.568,133936359590.565,135225868314.511,125539893126.958,129250111856.823,139552983248.635,171071106094.808,196768065557.487,204436015420.968,216552502822.732,255384615384.615,283742493042.332,251499027507.641,247814569536.424,273657214345.288,256706466091.089,269980111642.898,272609288689.575,232351114561.384
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,1609892232882.11,1614245416078.98,1460709148123.17,1510758283299.98,1500275942893.67,1368438363736.87,1382218344519.02,1500337850555.24,1848124153498.87,2124112242364.04,2203678646934.46,2325011918203.49,2663112510265.54,2923465651091.26,2693827452070.02,2646994701986.75,2862502085070.89,2681416108537.39,2808511203185.39,2839162443235.14,2418835532882.33
GDP (current US$),NY.GDP.MKTP.CD,French Polynesia,PYF,3982374845.92709,3954696873.74892,3567062511.87293,3775160797.38928,3797016068.69688,3447543137.9415,,,,,,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Gabon,GAB,4958845906.34769,5694040336.82571,5326816858.99586,4483417119.83928,4662992036.2073,5067865320.7979,5018874179.18704,5310381151.35952,6497305662.09274,7756293574.98077,9458884812.18106,10154041929.6521,12438956756.4455,15508574820.3516,12065138272.7538,14358584300.3006,18186478119.9582,17171447372.3334,17590716232.4913,18179717776.1597,14262032470.8493
GDP (current US$),NY.GDP.MKTP.CD,"Gambia, The",GMB,785996982.492168,848237108.56163,803630742.53446,840285264.631545,814723460.08372,782915402.421095,687408804.630527,578236035.104279,487038821.611959,578785278.7703,624174723.713404,655068695.952711,798870894.208271,965769128.170004,900639747.939529,952429030.415536,904256643.415984,912569686.7859,903779326.206421,849122624.781348,938794719.358588
