Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Afghanistan,AFG,1100,1050,996,941,881,821,776,724,676,631,584,536,496,459,425,396
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Albania,ALB,43,40,37,35,31,30,29,30,30,30,30,30,30,29,29,29
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Algeria,DZA,170,164,158,153,150,148,147,148,148,148,147,147,145,144,141,140
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,American Samoa,ASM,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Andorra,AND,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Angola,AGO,924,878,831,789,749,705,668,640,606,581,561,546,526,509,493,477
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Argentina,ARG,60,61,60,61,59,58,57,58,57,62,58,56,55,54,54,52
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Armenia,ARM,40,39,45,43,41,40,40,35,39,36,33,31,30,28,26,25
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Aruba,ABW,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Australia,AUS,9,8,8,8,7,7,7,7,7,7,6,7,6,6,6,6
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Austria,AUT,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Azerbaijan,AZE,48,43,38,38,32,34,30,29,28,27,27,26,25,25,26,25
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,"Bahamas, The",BHS,61,64,67,71,71,74,78,78,82,80,85,86,82,81,83,80
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Bahrain,BHR,21,21,21,20,20,20,19,18,17,17,16,16,16,15,15,15
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Bangladesh,BGD,399,384,365,349,333,319,303,288,273,258,242,228,214,201,188,176
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Barbados,BRB,48,46,46,46,47,40,36,38,36,34,33,31,29,28,28,27
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Belarus,BLR,26,23,22,19,16,13,10,8,7,6,5,5,4,4,4,4
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Belgium,BEL,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Belize,BLZ,53,53,53,50,50,52,50,46,36,39,37,33,32,29,28,28
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Benin,BEN,572,561,549,538,523,502,494,481,469,457,446,436,429,422,414,405
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Bermuda,BMU,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Bhutan,BTN,423,397,373,353,331,308,285,263,242,221,204,190,177,166,156,148
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Bolivia,BOL,334,329,323,317,312,305,298,288,277,266,253,241,230,222,215,206
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Bosnia and Herzegovina,BIH,17,16,15,15,15,14,14,14,13,14,13,12,12,12,12,11
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Botswana,BWA,311,328,338,334,311,276,239,215,208,188,169,159,153,139,134,129
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Brazil,BRA,66,61,62,63,66,67,68,67,66,65,65,59,60,48,46,44
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,British Virgin Islands,VGB,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Brunei Darussalam,BRN,31,31,30,32,32,30,28,26,27,26,27,29,25,24,23,23
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Bulgaria,BGR,21,20,18,17,16,15,14,13,12,11,11,11,10,11,11,11
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Burkina Faso,BFA,547,530,516,500,482,468,457,447,436,428,417,408,398,389,379,371
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Burundi,BDI,954,919,898,883,873,863,856,849,838,824,808,796,780,760,737,712
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Cabo Verde,CPV,83,75,68,61,56,54,60,60,57,54,51,50,48,46,44,42
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Cambodia,KHM,484,441,402,367,341,315,284,257,237,217,202,188,178,173,167,161
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Cameroon,CMR,750,751,742,732,723,729,725,710,707,696,676,652,632,619,609,596
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Canada,CAN,9,9,9,9,9,9,9,9,9,8,8,8,8,7,7,7
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Cayman Islands,CYM,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Central African Republic,CAF,1200,1190,1170,1150,1110,1060,1020,992,963,941,909,888,876,873,872,882
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Chad,TCD,1370,1360,1310,1260,1220,1170,1130,1100,1070,1070,1040,984,931,901,881,856
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Channel Islands,CHI,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Chile,CHL,31,32,29,29,29,27,28,29,28,27,26,25,24,23,23,22
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,China,CHN,58,56,54,52,50,48,45,43,40,38,35,33,31,29,28,27
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Colombia,COL,97,95,93,89,83,80,77,75,73,73,72,69,66,67,66,64
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Comoros,COM,499,484,471,458,447,436,426,415,407,396,388,376,365,354,344,335
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,"Congo, Dem. Rep.",COD,874,853,830,808,793,787,789,803,792,793,794,777,771,746,717,693
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,"Congo, Rep.",COG,653,657,655,641,622,596,575,555,537,525,509,494,483,469,452,442
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Costa Rica,CRI,38,36,37,36,32,31,33,29,30,32,29,28,27,26,26,25
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Cote d'Ivoire,CIV,671,678,683,700,725,742,745,745,745,732,717,715,715,688,665,645
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Croatia,HRV,11,10,11,11,11,11,11,11,11,10,10,10,9,9,9,8
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Cuba,CUB,43,41,39,39,40,41,38,40,42,43,44,43,41,41,40,39
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Curacao,CUW,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Cyprus,CYP,15,9,10,9,9,12,9,8,8,8,8,7,7,7,7,7
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Czech Republic,CZE,7,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Denmark,DNK,9,9,9,9,9,8,8,8,8,8,7,8,7,7,7,6
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Djibouti,DJI,401,396,382,371,357,341,330,321,309,290,275,266,257,243,237,229
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Dominica,DMA,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Dominican Republic,DOM,79,75,66,69,77,64,110,81,85,105,75,115,62,106,98,92
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Ecuador,ECU,103,98,91,81,75,74,71,68,68,72,75,78,74,70,66,64
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,"Egypt, Arab Rep.",EGY,63,60,58,56,54,52,50,47,45,43,40,39,37,35,34,33
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,El Salvador,SLV,84,86,72,69,69,68,67,62,59,63,59,60,57,55,54,54
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Equatorial Guinea,GNQ,702,659,611,564,523,483,450,426,408,391,379,364,361,356,351,342
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Eritrea,ERI,733,700,669,647,627,619,615,619,614,599,579,561,540,533,524,501
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Estonia,EST,26,24,22,19,17,15,13,13,11,11,8,10,9,9,9,9
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Ethiopia,ETH,897,871,846,814,780,743,698,654,608,566,523,482,447,410,378,353
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Faroe Islands,FRO,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Fiji,FJI,42,41,40,40,39,39,39,37,36,35,34,33,33,32,31,30
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Finland,FIN,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,France,FRA,12,12,11,11,10,10,10,10,10,10,9,9,9,9,9,8
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,French Polynesia,PYF,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Gabon,GAB,405,402,399,389,372,370,367,350,335,327,322,317,314,308,295,291
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,"Gambia, The",GMB,887,869,854,841,822,807,798,789,774,767,753,753,741,730,719,706
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Georgia,GEO,37,36,37,37,37,37,37,38,37,39,40,39,39,38,37,36
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Germany,DEU,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Ghana,GHA,467,449,437,420,396,376,358,345,337,330,325,320,324,321,322,319
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Gibraltar,GIB,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Greece,GRC,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Greenland,GRL,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Grenada,GRD,29,29,28,27,26,25,25,25,25,26,27,27,27,27,27,27
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Guam,GUM,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Guatemala,GTM,178,170,157,146,139,120,120,118,117,115,109,103,105,99,93,88
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Guinea,GIN,976,973,961,928,882,831,791,770,743,731,720,711,695,695,688,679
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Guinea-Bissau,GNB,800,799,793,775,745,714,679,643,614,587,570,563,553,554,553,549
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Guyana,GUY,210,211,208,208,220,232,226,217,200,176,241,239,239,236,233,229
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Haiti,HTI,505,492,482,479,472,459,452,442,424,408,389,369,372,370,367,359
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Honduras,HND,133,134,136,141,148,150,153,154,157,157,155,149,141,135,132,129
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Hungary,HUN,15,14,14,14,13,14,14,16,15,16,15,16,16,16,16,17
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Iceland,ISL,5,5,5,5,4,4,4,4,4,4,4,3,3,4,4,3
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,India,IND,374,354,335,316,298,280,265,250,237,225,215,206,197,189,181,174
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Indonesia,IDN,265,253,241,231,221,212,200,190,181,173,165,156,148,140,133,126
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,"Iran, Islamic Rep.",IRN,51,46,43,39,36,34,32,30,29,28,27,27,26,26,26,25
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Iraq,IRQ,63,61,59,57,55,54,52,52,52,52,51,51,51,50,50,50
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Ireland,IRL,9,9,8,7,7,8,7,7,8,9,7,8,8,8,8,8
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Isle of Man,IMN,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Israel,ISR,8,8,8,8,7,7,7,6,6,6,6,6,5,5,5,5
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Italy,ITA,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Jamaica,JAM,89,90,90,90,90,92,91,93,93,93,93,93,92,91,90,89
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Japan,JPN,10,9,8,8,8,7,7,6,6,6,6,6,6,6,6,5
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Jordan,JOR,77,73,70,68,65,62,60,59,58,58,59,59,59,59,59,58
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Kazakhstan,KAZ,65,60,54,50,46,44,41,37,30,24,20,17,15,13,12,12
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Kenya,KEN,759,765,767,768,751,728,702,680,660,633,605,584,562,540,525,510
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Kiribati,KIR,166,160,153,146,140,135,128,123,119,114,109,105,101,96,93,90
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,"Korea, Dem. People’s Rep.",PRK,128,121,114,109,106,105,104,104,103,100,97,95,91,87,85,82
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,"Korea, Rep.",KOR,16,14,14,15,14,14,13,14,14,15,15,14,13,12,12,11
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Kosovo,XKX,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Kuwait,KWT,7,7,6,6,6,6,6,6,6,5,5,4,4,4,4,4
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Kyrgyz Republic,KGZ,74,72,81,82,81,85,90,89,89,89,84,87,81,79,77,76
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Lao PDR,LAO,546,519,493,468,444,418,392,366,341,316,294,271,250,230,213,197
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Latvia,LVA,30,29,26,26,23,22,23,23,20,20,19,21,18,18,18,18
